sensor_id, sensor_name, param_name, description, type, units, data_type, max, min, resolution, accuracy
0x03,HIH4030,humidity,10-bit ADC Value,RAW,count,int16,1024,0,1,1
0x02,HTU21D,temperature,register reading,RAW,count,int24,65536,0,1,1
0x02,HTU21D,humidity,register reading,RAW,count,int24,65536,0,1,1
0x02,HTU21D,temperature,,CONVERTED,deg_C,float,125,-40,0.01,0.3
0x02,HTU21D,temperature,,CORRECTED,deg_C,float,125,-40,0.01,0.3
0x02,HTU21D,temperature,,VALIDATED,deg_C,float,125,-40,0.01,0.3
0x02,HTU21D,humidity,,RAW,%RH,float,100,0,0.04,2

0x03,HIH4030,humidity,,TYP1,%RH,float,100,0,0.04,2
0x0178, Wagman_Heartbeats,heartbeat,Aggregate Heartbeat,RAW, boolean,byte,31,0,1,1
0x0179, NC_Heartbeat, heartbeat, NC heartbeat, RAW, boolean, byte, 1,0,1,1
0x0179, NC_Heartbeat, heartbeat, NC heartbeat, CONVERTED, boolean, char, Y,N,1,1
